"No","Time","Pressure","","Data Pressure",""
"1","3/20/2024 13:55","50.929","","Sample","B"
"2","3/20/2024 13:55","50.929","","Proses","Injection"
"3","3/20/2024 13:55","50.909","","",""
"4","3/20/2024 13:55","50.888","","",""
"5","3/20/2024 13:55","50.866","","",""
"6","3/20/2024 13:55","50.856","","",""
"7","3/20/2024 13:55","50.87","","",""
"8","3/20/2024 13:55","50.871","","",""
"9","3/20/2024 13:55","50.872","","",""
"10","3/20/2024 13:55","50.875","","",""
"11","3/20/2024 13:55","50.875","","",""
"12","3/20/2024 13:55","50.873","","",""
"13","3/20/2024 13:55","50.875","","",""
"14","3/20/2024 13:55","50.872","","",""
"15","3/20/2024 13:55","50.871","","",""
"16","3/20/2024 13:55","50.872","","",""
"17","3/20/2024 13:55","50.87","","",""
"18","3/20/2024 13:55","50.873","","",""
"19","3/20/2024 13:55","50.871","","",""
"20","3/20/2024 13:55","50.872","","",""
"21","3/20/2024 13:55","50.873","","",""
"22","3/20/2024 13:55","50.871","","",""
"23","3/20/2024 13:55","50.871","","",""
"24","3/20/2024 13:55","50.87","","",""
"25","3/20/2024 13:55","50.869","","",""
"26","3/20/2024 13:55","50.871","","",""
"27","3/20/2024 13:55","50.87","","",""
"28","3/20/2024 13:55","50.867","","",""
"29","3/20/2024 13:55","50.865","","",""
"30","3/20/2024 13:55","50.865","","",""
"31","3/20/2024 13:55","50.866","","",""
"32","3/20/2024 13:55","50.868","","",""
"33","3/20/2024 13:55","50.866","","",""
"34","3/20/2024 13:55","50.868","","",""
"35","3/20/2024 13:55","50.869","","",""
"36","3/20/2024 13:55","50.869","","",""
"37","3/20/2024 13:56","50.871","","",""
"38","3/20/2024 13:56","50.872","","",""
"39","3/20/2024 13:56","50.871","","",""
"40","3/20/2024 13:56","50.869","","",""
"41","3/20/2024 13:56","50.871","","",""
"42","3/20/2024 13:56","50.872","","",""
"43","3/20/2024 13:56","50.873","","",""
"44","3/20/2024 13:56","50.87","","",""
"45","3/20/2024 13:56","50.871","","",""
"46","3/20/2024 13:56","50.87","","",""
"47","3/20/2024 13:56","50.868","","",""
"48","3/20/2024 13:56","50.87","","",""
"49","3/20/2024 13:56","50.87","","",""
"50","3/20/2024 13:56","50.872","","",""
"51","3/20/2024 13:56","50.871","","",""
"52","3/20/2024 13:56","50.871","","",""
"53","3/20/2024 13:56","50.87","","",""
"54","3/20/2024 13:56","50.871","","",""
"55","3/20/2024 13:56","50.869","","",""
"56","3/20/2024 13:56","50.869","","",""
"57","3/20/2024 13:56","50.869","","",""
"58","3/20/2024 13:56","50.869","","",""
"59","3/20/2024 13:56","50.87","","",""
"60","3/20/2024 13:56","50.872","","",""
"61","3/20/2024 13:56","50.873","","",""
"62","3/20/2024 13:56","50.873","","",""
"63","3/20/2024 13:56","50.872","","",""
"64","3/20/2024 13:56","50.872","","",""
"65","3/20/2024 13:56","50.869","","",""
"66","3/20/2024 13:56","50.869","","",""
"67","3/20/2024 13:56","50.871","","",""
"68","3/20/2024 13:56","50.871","","",""
"69","3/20/2024 13:56","50.873","","",""
"70","3/20/2024 13:56","50.872","","",""
"71","3/20/2024 13:56","50.87","","",""
"72","3/20/2024 13:56","50.873","","",""
