"No","Time","Pressure","","Data Pressure","",""
"1","3/20/2024 16:03","1.535","","Sample","B",""
"2","3/20/2024 16:03","1.535","","Proses","Desorpsi",""
"3","3/20/2024 16:03","2.344","","","",""
"4","3/20/2024 16:03","6.689","","","",""
"5","3/20/2024 16:03","6.971","","","",""
"6","3/20/2024 16:03","6.959","","","",""
"7","3/20/2024 16:03","6.949","","","",""
"8","3/20/2024 16:03","6.943","","","",""
"9","3/20/2024 16:03","6.934","","","",""
"10","3/20/2024 16:03","6.927","","","",""
"11","3/20/2024 16:03","6.924","","","",""
"12","3/20/2024 16:03","6.925","","","",""
"13","3/20/2024 16:03","6.923","","","",""
"14","3/20/2024 16:03","6.921","","","",""
"15","3/20/2024 16:03","6.918","","","",""
"16","3/20/2024 16:03","6.921","","","",""
"17","3/20/2024 16:03","6.92","","","",""
"18","3/20/2024 16:03","6.92","","","",""
"19","3/20/2024 16:03","6.92","","","",""
"20","3/20/2024 16:03","6.918","","","",""
"21","3/20/2024 16:04","6.919","","","",""
"22","3/20/2024 16:04","6.92","","","",""
"23","3/20/2024 16:04","6.92","","","",""
"24","3/20/2024 16:04","6.922","","","",""
"25","3/20/2024 16:04","6.921","","","",""
"26","3/20/2024 16:04","6.92","","","",""
"27","3/20/2024 16:04","6.921","","","",""
"28","3/20/2024 16:04","6.923","","","",""
"29","3/20/2024 16:04","6.919","","","",""
"30","3/20/2024 16:04","6.919","","","",""
"31","3/20/2024 16:04","6.921","","","",""
"32","3/20/2024 16:04","6.919","","","",""
"33","3/20/2024 16:04","6.92","","","",""
"34","3/20/2024 16:04","6.922","","","",""
"35","3/20/2024 16:04","6.918","","","",""
"36","3/20/2024 16:04","6.918","","","",""
"37","3/20/2024 16:04","6.919","","","",""
"38","3/20/2024 16:04","6.918","","","",""
"39","3/20/2024 16:04","6.919","","","",""
"40","3/20/2024 16:04","6.921","","","",""
"41","3/20/2024 16:04","6.92","","","",""
"42","3/20/2024 16:04","6.922","","","",""
"43","3/20/2024 16:04","6.919","","","",""
"44","3/20/2024 16:04","6.921","","","",""
"45","3/20/2024 16:04","6.92","","","",""
"46","3/20/2024 16:04","6.92","","","",""
"47","3/20/2024 16:04","6.921","","","",""
"48","3/20/2024 16:04","6.921","","","",""
"49","3/20/2024 16:04","6.923","","","",""
"50","3/20/2024 16:04","6.923","","","",""
"51","3/20/2024 16:04","6.923","","","",""
"52","3/20/2024 16:04","6.925","","","",""
"53","3/20/2024 16:04","6.924","","","",""
"54","3/20/2024 16:04","6.926","","","",""
"55","3/20/2024 16:04","6.924","","","",""
"56","3/20/2024 16:04","6.924","","","",""
