"No","Time","Pressure","","Data Pressure",""
"1","3/20/2024 9:16","51.245","","Sample","A"
"2","3/20/2024 9:16","51.29","","Proses","Injection"
"3","3/20/2024 9:16","51.289","","",""
"4","3/20/2024 9:16","51.284","","",""
"5","3/20/2024 9:16","51.265","","",""
"6","3/20/2024 9:16","51.246","","",""
"7","3/20/2024 9:16","51.226","","",""
"8","3/20/2024 9:16","51.212","","",""
"9","3/20/2024 9:16","51.225","","",""
"10","3/20/2024 9:16","51.229","","",""
"11","3/20/2024 9:16","51.231","","",""
"12","3/20/2024 9:16","51.23","","",""
"13","3/20/2024 9:16","51.23","","",""
"14","3/20/2024 9:16","51.23","","",""
"15","3/20/2024 9:16","51.231","","",""
"16","3/20/2024 9:16","51.233","","",""
"17","3/20/2024 9:16","51.232","","",""
"18","3/20/2024 9:16","51.232","","",""
"19","3/20/2024 9:16","51.228","","",""
"20","3/20/2024 9:16","51.226","","",""
"21","3/20/2024 9:16","51.226","","",""
"22","3/20/2024 9:16","51.229","","",""
"23","3/20/2024 9:16","51.228","","",""
"24","3/20/2024 9:16","51.228","","",""
"25","3/20/2024 9:16","51.226","","",""
"26","3/20/2024 9:16","51.23","","",""
"27","3/20/2024 9:17","51.229","","",""
"28","3/20/2024 9:17","51.229","","",""
"29","3/20/2024 9:17","51.229","","",""
"30","3/20/2024 9:17","51.232","","",""
"31","3/20/2024 9:17","51.235","","",""
"32","3/20/2024 9:17","51.235","","",""
"33","3/20/2024 9:17","51.234","","",""
"34","3/20/2024 9:17","51.23","","",""
"35","3/20/2024 9:17","51.228","","",""
"36","3/20/2024 9:17","51.229","","",""
"37","3/20/2024 9:17","51.228","","",""
"38","3/20/2024 9:17","51.227","","",""
"39","3/20/2024 9:17","51.228","","",""
"40","3/20/2024 9:17","51.227","","",""
"41","3/20/2024 9:17","51.226","","",""
"42","3/20/2024 9:17","51.227","","",""
"43","3/20/2024 9:17","51.225","","",""
"44","3/20/2024 9:17","51.227","","",""
"45","3/20/2024 9:17","51.225","","",""
"46","3/20/2024 9:17","51.227","","",""
"47","3/20/2024 9:17","51.226","","",""
"48","3/20/2024 9:17","51.226","","",""
"49","3/20/2024 9:17","51.227","","",""
"50","3/20/2024 9:17","51.228","","",""
"51","3/20/2024 9:17","51.226","","",""
"52","3/20/2024 9:17","51.228","","",""
"53","3/20/2024 9:17","51.229","","",""
"54","3/20/2024 9:17","51.23","","",""
"55","3/20/2024 9:17","51.232","","",""
"56","3/20/2024 9:17","51.228","","",""
"57","3/20/2024 9:17","51.228","","",""
"58","3/20/2024 9:17","51.231","","",""
"59","3/20/2024 9:17","51.229","","",""
"60","3/20/2024 9:17","51.229","","",""
"61","3/20/2024 9:17","51.23","","",""
"62","3/20/2024 9:17","51.227","","",""
"63","3/20/2024 9:17","51.228","","",""
"64","3/20/2024 9:17","51.23","","",""
"65","3/20/2024 9:17","51.228","","",""
"66","3/20/2024 9:17","51.23","","",""
"67","3/20/2024 9:17","51.23","","",""
"68","3/20/2024 9:17","51.225","","",""
"69","3/20/2024 9:17","51.226","","",""
"70","3/20/2024 9:17","51.225","","",""
"71","3/20/2024 9:17","51.226","","",""
